ID,PartNumber,Revision,Release
695,SPI-00697-027-BLK,09,3
696,SPI-00697-027,09,1
697,SPI-00697-027,09,2
698,SPI-00697-027,09,3
699,SPI-00935-016,01,1
700,SPI-00935-016,01,2
701,SPI-00935-018,01,1
702,SPI-00935-024,00,1
703,SPI-00944-LSC,00,1
704,SPI-00947-013,04,1
705,SPI-00947-014-PTB,13,1
706,SPI-00947-014-SUN-TEAL,02,1
707,SPI-00947-014-SUN,02,1
708,SPI-00947-014,13,1
709,SPI-00947-017A-PTB,00,1
710,SPI-00947-017A,00,1
711,SPI-00947-018-PTB,07,50
712,SPI-00947-018Q1-PTB,00,1
713,SPI-00947-018,07,1
714,SPI-00947-024-PTB,07,50
715,SPI-00947-040-SUN,01,1
716,SPI-00947-042-SUN,01,1
717,SPI-00947-045,04,1
718,SPI-00947-046,04,1
719,SPI-00947-047,00,1
720,SPI-00947-052,00,50
721,SPI-00947-054TAB,01,1
722,SPI-00947-054TAB,01,2
723,SPI-00947-056,01,1
724,SPI-00947-057-PTB,03,1
725,SPI-00947-057-PTB,03,2
726,SPI-00947-057,03,1
727,SPI-00947-057,03,2
728,SPI-00947-058,02,2
729,SPI-00947-061-SUN,00,1
730,SPI-00947-065-PTB,02,1
731,SPI-00947-065,02,1
732,SPI-00992-015-SUN,06,1
733,SPI-00992-015,06,1
734,SPI-01153-005-SUN,02,1
735,SPI-01153-011-SUN,01,50
736,SPI-01153-011,01,1
737,SPI-01153-011,01,50
738,SPI-01153-012-SUN,00,1
739,SPI-01153-013,00,50
740,SPI-01153-014,01,1
741,SPI-01153-024 ,00,1
742,SPI-01153-025-PTB,00,2
743,SPI-01153-025-P,00,1
744,SPI-01153-025,00,2
745,SPI-01153-026,00,1
746,SPI-01153-028-PTB,00,1
747,SPI-01153-028-P,00,1
748,SPI-01153-028,00,1
749,SPI-01681-003-SUN,01,1
750,SPI-01681-007-PTB,04,50
751,SPI-01681-007-SUN,04,1
752,SPI-01681-007,04,1
753,SPI-01681-008-PTB,08,50
754,SPI-01681-008,08,1
755,SPI-01681-012-PTB,05,1
756,SPI-01681-012,05,1
757,SPI-01681-013-PTB,03,1
758,SPI-01681-013,03,1
759,SPI-01681-014-PTB,04,50
760,SPI-01681-014-SUN,04,51
761,SPI-01681-014-SUN,04,52
762,SPI-01681-014,04,2
763,SPI-01681-014,04,50
764,SPI-01681-014,04,51
765,SPI-01681-020-PTB,06,50
766,SPI-01681-020-PTB,06,51
767,SPI-01681-020-SUN,06,1
