ID,SO
977,43102
978,43104
979,43105
980,43116
981,43119
982,43120
983,43121
984,43122
985,43124
986,43127
987,43128
988,43130
989,43132
990,42917
991,43107
992,43123
993,43134
994,43135
995,43136
996,43137
997,43140
998,43141
999,43142
1000,43143
1001,43146
1002,43150
1003,43155
1004,43156
1005,43159
1006,43161
1007,43165
1008,43151
1009,43160
1010,43162
1011,43163
1012,43167
1013,43169
1014,43196
1015,43197
1016,43198
1017,43027
1018,43200
1019,43203
1020,43205
1021,43206
1022,43207
1023,43208
1024,43209
1025,43210
1026,43211
1027,43213
1028,43215
1029,43204
1030,43243
1031,43250
1032,43232
1033,43234
1034,43171
1035,43147
1036,43235
1037,43236
1038,43239
1039,43244
1040,43245
1041,43246
1042,43247
1043,43248
1044,43249
1045,43252
1046,43255
1047,43256
1048,43258
1049,43264
1050,43267
1051,43268
1052,43271
1053,43272
1054,43274
1055,43276
1056,43278
1057,43240
1058,43242
1059,43266
1060,43260
1061,43261
1062,43279
1063,43281
1064,43282
1065,43285
1066,43288
1067,43289
1068,43291
1069,43292
1070,43294
1071,43297
1072,43301
1073,43303
1074,43304
1075,43306
1076,43287
1077,43298
1078,43310
1079,43315
1080,43316
1081,43317
1082,43318
1083,43319
1084,43328
1085,43313
1086,43330
1087,43331
1088,43334
1089,43335
1090,43336
1091,43337
1092,43343
1093,43344
1094,43354
1095,43355
1096,43360
1097,43363
1098,43366
1099,43370
1100,43371
1101,43372
1102,43378
1103,43379
1104,43353
1105,43361
1106,43375
1107,43382
1108,43383
1109,43384
1110,43385
1111,43392
1112,43393
1113,43395
1114,43332
1115,43414
1116,43397
1117,43399
1118,43400
1119,43401
1120,43402
1121,43404
1122,43405
1123,43406
1124,43409
1125,43412
1126,43415
1127,43418
1128,43419
1129,43420
1130,43422
1131,43290
1132,43429
1133,43431
1134,43435
1135,43426
1136,43427
1137,43433
1138,43440
1139,43441
1140,43445
1141,43446
1142,43448
1143,43456
1144,43457
1145,43460
1146,43461
1147,43464
1148,43475
1149,43477
1150,43478
1151,43480
1152,43482
1153,43483
1154,43450
1155,43451
1156,43452
1157,43502
1158,43487
1159,43488
1160,43500
1161,43503
1162,43506
1163,43508
1164,43491
1165,43495
1166,43499
1167,43498
1168,43501
1169,43510
1170,43514
1171,43515
1172,43516
1173,43517
1174,43520
1175,43521
1176,43522
1177,43523
1178,43528
1179,43529
1180,43542
1181,43432
1182,43532
1183,43535
1184,43536
1185,43539
1186,43545
1187,43554
1188,43555
1189,43556
1190,43557
1191,43559
1192,43566
1193,43567
1194,43570
1195,43572
1196,43577
1197,43578
1198,43579
1199,43581
1200,43582
1201,43583
1202,43584
1203,43586
1204,43588
1205,43589
1206,43592
1207,43593
1208,43595
1209,43597
1210,43598
1211,43601
1212,43602
1213,43561
1214,43609
1215,43612
1216,43613
1217,43615
1218,43616
1219,43621
1220,43623
1221,43624
1222,43627
1223,43634
1224,43635
1225,43636
1226,43639
1227,43640
1228,43643
1229,43644
1230,43645
1231,43652
1232,43659
1233,43479
1234,43531
1235,43651
1236,43660
1237,43661
1238,43662
1239,43664
1240,43665
1241,43667
1242,43674
1243,43668
1244,43670
1245,43671
1246,43672
1247,43679
1248,43680
1249,43685
1250,43686
1251,43687
1252,43688
1253,43689
1254,43694
1255,43702
1256,43703
1257,43705
1258,43707
1259,43708
1260,43709
1261,43729
1262,43712
1263,43715
1264,43716
1265,43719
1266,43723
1267,43695
1268,43730
1269,43731
1270,43733
1271,43734
1272,43736
1273,43737
1274,43740
1275,43741
1276,43742
1277,43743
1278,43744
1279,43747
1280,43753
1281,43756
1282,43754
1283,43759
1284,43760
1285,43764
1286,43767
1287,43770
1288,43653
1289,43775
1290,43783
1291,43785
1292,43787
1293,43788
1294,43790
1295,43791
1296,43793
1297,43794
1298,43795
1299,43799
1300,43802
1301,43804
1302,43807
1303,43808
1304,43809
1305,43810
1306,43815
1307,43820
1308,43821
1309,43824
1310,43825
1311,43826
1312,43828
1313,43829
1314,43848
1315,43827
1316,43830
1317,43834
1318,43846
1319,43851
1320,43860
1321,43863
1322,43864
1323,43865
1324,43875
1325,43845
1326,43855
1327,43868
1328,43869
1329,43877
1330,43885
1331,43854
1332,43871
1333,43872
1334,43873
1335,43889
1336,43890
1337,43892
1338,43893
1339,43894
1340,43895
1341,43896
1342,43899
1343,43902
1344,43915
1345,43898
1346,43933
1347,43934
1348,43913
1349,43916
1350,43917
1351,43921
1352,43923
1353,43924
1354,43926
1355,43927
1356,43931
1357,43932
1358,43911
1359,43920
1360,43928
1361,43935
1362,43908
1363,43912
1364,43944
1365,43945
1366,43952
1367,43969
1368,43964
1369,43970
1370,43971
1371,43972
1372,43962
1373,43976
1374,43981
1375,43988
1376,43989
1377,43994
1378,43995
1379,43996
1380,43999
1381,44004
1382,44005
1383,44001
1384,44010
1385,44012
1386,44014
1387,44015
1388,44018
1389,44030
1390,43982
1391,44023
1392,44031
1393,44035
1394,44037
1395,44054
1396,44048
1397,44059
1398,44061
1399,44062
1400,44064
1401,44055
1402,44051
1403,44053
1404,44068
1405,44069
1406,44070
1407,44073
1408,44074
1409,44076
1410,44081
1411,44086
1412,44087
1413,44088
1414,44089
1415,44090
1416,44091
1417,44092
1418,44094
1419,44095
1420,44097
1421,44098
1422,44102
1423,44108
1424,44111
1425,44112
1426,44114
1427,44126
1428,44117
1429,44118
1430,44133
1431,44135
1432,44144
1433,44145
1434,44148
1435,44149
1436,44116
1437,44143
1438,44150
1439,44158
1440,44160
1441,44162
1442,44164
1443,44165
1444,44172
1445,44166
1446,44167
1447,44168
1448,44170
1449,44017
1450,44181
1451,44184
1452,44185
1453,44186
1454,44195
1455,44197
1456,44200
1457,44206
1458,44207
1459,44208
1460,44210
1461,44212
1462,44215
1463,44216
1464,44219
1465,44220
1466,44221
1467,44225
1468,44227
1469,44235
1470,44236
1471,44247
1472,44254
1473,44255
1474,44256
1475,44257
1476,44267
1477,44268
1478,44269
1479,44270
1480,44272
1481,44273
1482,44274
1483,44298
1484,44275
1485,44277
1486,44279
1487,44280
1488,44281
1489,44282
1490,44283
1491,44284
1492,44285
1493,44286
1494,44289
1495,44293
1496,44294
1497,44295
1498,44305
1499,44306
1500,44287
1501,44308
1502,44310
1503,44311
1504,44313
1505,44315
1506,44320
1507,44322
1508,44323
1509,44139
1510,44331
1511,44333
1512,44334
1513,44335
1514,44340
1515,44343
1516,44344
1517,44348
1518,44349
1519,44352
1520,44358
1521,44359
1522,44376
1523,44362
1524,44386
1525,44392
1526,44372
1527,44374
1528,44375
1529,44377
1530,44380
1531,44382
1532,44383
1533,44384
1534,44385
1535,44378
1536,44413
1537,44399
1538,44403
1539,44410
1540,44414
1541,44404
1542,-0000
1543,44416
1544,44425
1545,44423
1546,44408
1547,44409
1548,44371
1549,44426
1550,44439
1551,44405
1552,44412
1553,44429
1554,44430
1555,44435
1556,44441
1557,44442
1558,44448
1559,44456
1560,44458
1561,44460
1562,44467
1563,44469
1564,44471
1565,44478
1566,44479
1567,44480
1568,44483
1569,44484
1570,44485
1571,44486
1572,44489
1573,44491
1574,44498
1575,44499
1576,44500
1577,44505
1578,44506
1579,44507
1580,44508
1581,44510
1582,44511
1583,44459
1584,44515
1585,44516
1586,44519
1587,44536
1588,44537
1589,44538
1590,44554
1591,44555
1592,44556
1593,44558
1594,44559
1595,44560
1596,44565
1597,44578
1598,44579
1599,44580
1600,44582
1601,44589
1602,44591
1603,44592
1604,44598
1605,44599
1606,44601
1607,44602
1608,44603
1609,44604
1610,44605
1611,44547
1612,44553
1613,44618
1614,44632
1615,44606
1616,44610
1617,44624
1618,44630
1619,44619
1620,44633
1621,44631
1622,44636
1623,44637
1624,44644
1625,44645
1626,44617
1627,44527
1628,44657
1629,44658
1630,44668
1631,44670
1632,44671
1633,44672
1634,44676
1635,44679
1636,44690
1637,44700
1638,44684
1639,44685
1640,44687
1641,44695
1642,44715
1643,44718
1644,44714
1645,44705
1646,47168
1647,44723
1648,44725
1649,44732
1650,44728
1651,44733
1652,44734
